"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"15","Staphylococcus aureus infection","9/95",0.00146349726517878,0.0285869799131588,0,0,3.64189810941944,23.7704006270202,"IL10;C1QB;SELP;C1QA;FCGR2A;CFH;MASP2;FCGR2B;C1QC"
"16","Fc gamma R-mediated phagocytosis","9/97",0.001694047657488,0.031022247727749,0,0,3.55875981033355,22.7071458011017,"CDC42;PTPRC;FCGR2A;AKT3;ASAP3;PIP5K1A;PIK3CD;PLA2G4A;FCGR2B"
"17","Pancreatic secretion","9/102",0.0023991588404254,0.0413502082496849,0,0,3.36655836621026,20.3092248529171,"CHRM3;RYR2;CELA2A;ATP2B4;ATP1A2;PLA2G5;ATP1A1;CLCA4;SLC9A1"
"18","Human papillomavirus infection","19/331",0.00290292272778467,0.0457914546187417,0,0,2.1328601953602,12.4602486300333,"NOTCH2;WNT2B;LAMB3;HDAC1;UBR4;PIK3CD;ISG15;FASLG;LAMC2;MTOR;CDC42;NRAS;AKT3;DVL1;TNR;COL9A2;PRKACB;JAK1;WNT4"
"19","Insulin secretion","8/86",0.00296941173295594,0.0457914546187417,0,0,3.56433273488929,20.7422473193923,"CHRM3;RYR2;SLC2A1;ATP1A2;ATP1A1;CACNA1S;KCNN3;PRKACB"
"20","Cardiac muscle contraction","8/87",0.00319121934215476,0.0467513633625672,0,0,3.51903279321864,20.2251208529572,"RYR2;TPM3;TNNT2;CASQ2;ATP1A2;ATP1A1;CACNA1S;SLC9A1"
"21","cAMP signaling pathway","14/216",0.00344687385878585,0.0480920971725835,0,0,2.41920181128821,13.7175700000497,"RYR2;GNAI3;ATP2B4;PIK3CD;ATP1A2;ATP1A1;SLC9A1;ADCY10;AKT3;NPPA;ADORA1;CACNA1S;PRKACB;TSHB"
"22","Cushing syndrome","11/155",0.00462820310672056,0.0616392504667783,0,0,2.65996038908945,14.2988473818639,"FH;WNT2B;CDKN2C;HSD3B2;DVL1;GNAI3;CACNA1S;PRKACB;PBX1;AGT;WNT4"
"23","Diabetic cardiomyopathy","13/203",0.00523123370994454,0.0655363420990965,0,0,2.38544050343249,12.5309769206292,"RYR2;TGFB2;NCF2;SLC2A1;PIK3CD;SDHC;SDHB;AGT;MTOR;CPT2;AKT3;NDUFS2;REN"
"24","Gastric acid secretion","7/76",0.00562693203336602,0.0655363420990965,0,0,3.52090800477897,18.2389756668868,"CHRM3;KCNJ10;GNAI3;ATP1A2;ATP1A1;PRKACB;SLC9A1"
